Horas(s)	Crifras Acumuladas
0.50	8.33885e+08
1.03	1.77341e+09
1.53	2.71293e+09
2.04	3.65246e+09
2.56	4.59198e+09
3.09	5.53151e+09
3.61	6.47103e+09
4.17	7.41055e+09
4.67	8.31722e+09
5.21	9.25675e+09
5.76	1.00621e+10
6.28	1.08674e+10
6.78	1.16140e+10
7.28	1.23836e+10
7.79	1.30547e+10
8.29	1.38394e+10
8.79	1.46447e+10
9.32	1.55842e+10
9.86	1.65237e+10
10.41	1.74633e+10
10.96	1.84028e+10
11.49	1.93423e+10
12.01	2.02818e+10
12.55	2.12214e+10
13.09	2.21609e+10
13.62	2.31004e+10
14.16	2.40399e+10
14.69	2.49795e+10
15.23	2.59190e+10
15.73	2.68223e+10
16.27	2.77618e+10
16.81	2.87014e+10
17.35	2.96409e+10
17.90	3.05804e+10
18.44	3.15199e+10
18.98	3.24595e+10
19.50	3.33990e+10
20.04	3.43385e+10
20.58	3.52780e+10
21.12	3.62176e+10
21.62	3.71484e+10
22.12	3.80832e+10
22.62	3.89888e+10
23.16	3.99283e+10
23.66	4.07805e+10
24.16	4.17193e+10
24.66	4.26316e+10
25.16	4.35623e+10
25.66	4.44942e+10
26.21	4.54337e+10
26.72	4.62391e+10
27.27	4.71786e+10
27.84	4.81181e+10
28.39	4.90576e+10
28.91	4.99972e+10
29.41	5.09351e+10
29.94	5.18746e+10
30.44	5.28045e+10
30.95	5.37440e+10
31.47	5.46836e+10
32.01	5.56231e+10
32.56	5.65626e+10
33.08	5.75021e+10
33.61	5.84417e+10
34.14	5.93812e+10
34.67	6.03207e+10
35.19	6.12602e+10
35.72	6.21998e+10
36.25	6.31393e+10
36.79	6.40788e+10
37.33	6.50183e+10
37.85	6.59579e+10
38.39	6.68974e+10
38.92	6.78369e+10
39.45	6.87764e+10
39.98	6.97160e+10
40.52	7.06555e+10
41.05	7.15950e+10
41.56	7.25345e+10
42.09	7.34741e+10
42.62	7.44136e+10
43.16	7.53531e+10
43.70	7.62926e+10
44.22	7.72322e+10
44.75	7.81717e+10
45.27	7.91112e+10
45.79	8.00507e+10
46.32	8.09902e+10
46.84	8.19298e+10
47.36	8.28693e+10
47.89	8.38088e+10
48.42	8.47483e+10
48.95	8.56879e+10
49.47	8.66274e+10
49.98	8.75669e+10
50.51	8.85064e+10
51.03	8.94460e+10
51.56	9.03855e+10
52.07	9.13250e+10
52.59	9.22645e+10
53.11	9.32041e+10
53.62	9.41436e+10
54.16	9.50831e+10
54.66	9.59102e+10
55.16	9.66722e+10
55.66	9.74540e+10
56.20	9.83936e+10
56.72	9.93331e+10
57.26	1.00273e+11
57.80	1.01212e+11
58.34	1.02152e+11
58.88	1.03091e+11
59.42	1.04031e+11
59.97	1.04970e+11
60.50	1.05910e+11
61.04	1.06849e+11
61.58	1.07789e+11
62.11	1.08728e+11
62.64	1.09668e+11
63.18	1.10607e+11
63.71	1.11547e+11
64.24	1.12486e+11
64.77	1.13426e+11
65.32	1.14365e+11
65.86	1.15305e+11
66.38	1.16245e+11
66.88	1.17184e+11
67.38	1.18152e+11
67.88	1.19112e+11
68.38	1.20083e+11
68.88	1.21073e+11
69.41	1.22012e+11
69.93	1.22952e+11
70.45	1.23891e+11
70.98	1.24831e+11
71.50	1.25770e+11
72.03	1.26710e+11
